code,name,country
SGSIN,Singapore,SG
IDBUA,Buatan,ID
KRPUS,Busan,KR
NLRTM,Rotterdam,NL
USNYC,New York,US
CNNTG,Nantong,CN
CNSHA,Shanghai,CN
MYPKG,Port Klang,MY
AEJEA,Jebel Ali,AE
INNSA,Nhava Sheva,IN
SIKOP,Koper,SI
JOAQB,Aqaba,JO
NGAPP,Apapa,NG
USBAL,Baltimore,US
AUBNE,Brisbane,AU
PECLL,Callao,PE
PHCEB,Cebu,PH
GNCKY,Conakry,GN
AUFRE,Fremantle,AU
PLGDN,Gdansk,PL
VNSGN,Ho Chi Minh City,VN
USHOU,Houston,US
PKKHI,Karachi,PK
LTKLJ,Klaipeda,LT
TRMER,Mersin,TR
KEMBA,Mombasa,KE
USLGB,Long Beach,US
KRPTK,Pyeongtaek,KR
USSAV,Savannah,US
ILASH,Ashdod,IL
CLVAP,Valparaiso,CL
CNYTN,Yantian,CN
CNQDG,Qingdao,CN
CNNGB,Ningbo,CN
MMRGN,Yangon,MM
DEHAM,Hamburg,DE
FRLEH,Le Havre,FR
BEANR,Antwerp,BE
GBDVR,Dover,GB
GBLON,London,GB
MYPEN,Penang,MY
THLCH,Laem Chabang,TH
IDJKT,Jakarta,ID
IDSRG,Semarang,ID
IDSUB,Surabaya,ID
LKCMB,Colombo,LK
AEDXB,Dubai,AE
SAJED,Jeddah,SA
EGPSD,Port Said,EG
ZADUR,Durban,ZA
BRSSZ,Santos,BR
